2025/06/18 10:43:06 Language service started on :8083
2025/06/18 10:56:22 Language preference set to ar
2025/06/18 10:56:22 Language preference set to ar
2025/06/18 12:13:13 Language preference set to en
2025/06/18 12:13:13 Language preference set to en
2025/06/18 13:45:37 Language preference set to da
2025/06/18 13:45:37 Language preference set to da
2025/06/18 13:45:40 Language preference set to ar
2025/06/18 13:45:40 Language preference set to ar
2025/06/18 13:45:52 Language preference set to en
2025/06/18 13:45:52 Language preference set to en
2025/06/18 13:45:58 Language preference set to de
2025/06/18 13:45:58 Language preference set to de
2025/06/18 13:46:03 Language preference set to ar
2025/06/18 13:46:03 Language preference set to ar
2025/06/18 13:46:15 Language preference set to es
2025/06/18 13:46:15 Language preference set to es
2025/06/18 13:46:39 Language preference set to ar
2025/06/18 13:46:39 Language preference set to ar
2025/06/18 13:50:46 Language preference set to en_GB
2025/06/18 13:50:46 Language preference set to en_GB
2025/06/18 13:50:52 Language preference set to da
2025/06/18 13:50:52 Language preference set to da
2025/06/18 13:50:55 Language preference set to de
2025/06/18 13:50:55 Language preference set to de
